19,19,19,19,19,19,58,19,19,19,19,19,19,19,19,19,19,19,19
15,16,16,16,16,17,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,29,17,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,29,17,1,15,27,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,29,1,27,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2
14,2,2,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2
26,14,2,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2
0,26,14,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2
0,0,26,14,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2
0,0,0,26,14,2,2,2,2,2,2,9,1,2,2,2,2,2,2
80,68,0,0,26,14,2,2,2,2,2,9,1,2,2,2,2,2,2
90,80,0,0,0,26,14,2,2,2,2,9,1,2,2,2,2,2,2
102,90,1,80,68,0,26,14,2,2,2,9,1,39,2,2,2,2,41
0,0,102,1,91,0,0,37,2,2,2,2,17,51,39,2,2,41,53
0,0,66,92,104,0,0,37,2,2,2,2,29,17,51,52,52,53,15
0,0,79,80,0,0,0,26,14,2,2,2,53,1,1,1,15,16,27
36,0,79,1,68,0,0,0,26,14,2,2,17,1,1,15,27,2,2
48,36,102,90,80,67,67,67,67,68,14,2,29,16,16,27,2,2,2
62,48,36,102,90,1,1,1,1,91,26,14,2,2,2,2,2,2,2
74,62,25,0,79,1,1,1,1,91,0,26,13,14,2,2,2,2,2
3,85,48,36,79,1,1,1,1,80,67,67,68,26,14,2,2,2,2
3,74,62,48,102,103,103,103,103,103,103,103,90,1,1,51,39,2,2
3,3,74,62,48,49,49,49,49,49,49,49,49,50,29,17,1,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
